microorganismo,antibiotico,s_cim,i_cim,r_cim,diametro_s_mm,diametro_i_mm,diametro_r_mm,notas
Enterobacterales,Carbapenêmicos1,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Enterobacterales,Doripenem,1,2,>2,24,21-23,<21,"1. Alguns isolados produtores de carbapenemases são categorizados como sensíveis (S ou I) utilizando estes pontos de corte e devem ser reportados de acordo com o resultado do teste, ou seja, a presença ou ausência de carbapenemases não influencia na categorização da sensibilidade. A detecção e a caracterização de carbapenemases são recomendadas para fins de saúde pública e controle de infecções. Para a triagem de carbapenemases, é recomendado um valor de corte para meropenem de >0,125 mg/L (diâmetro de halo <28 mm)."
Enterobacterales,Ertapenem,"0,5",-,">0,5",23,-,<23,
Enterobacterales,"Imipenem, Enterobacterales exceto Morganellaceae",2,4,>4,22,19-21,<19,
Enterobacterales,"Imipenem2, Morganellaceae","0,001","0,002-4",>4,50,19-49,<19,"2. A atividade intrinsecamente baixa do imipenem contra Morganella morganii, Proteus spp. e Providencia spp. requer alta exposição ao imipenem."
Enterobacterales,"Imipenem-relebactam, Enterobacterales exceto Morganellaceae",23,-,>23,22,-,<22,"3. Para fins de teste de sensibilidade, a concentração de relebactam é fixada em 4 mg/L."
Enterobacterales,Meropenem (infecções não meníngeas),2,4-8,>8,22,16-21,<16,"4. Para fins de teste de sensibilidade, a concentração de vaborbactam é fixada em 8 mg/L."
Enterobacterales,Meropenem (meningite),2,-,>2,22,-,<22,"A. Para isolados na AIT, se resistentes ao meropenem, reportar resistência ao meropenem-vaborbactam. Se não for resistente ao meropenem, reavaliar."
Enterobacterales,Meropenem-vaborbactam,84,-,>84,20,-,<20,
Enterobacterales,Monobactâmicos,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Enterobacterales,Aztreonam1,1,2-4,>4,26,21-25,<21,"1. Os pontos de corte de aztreonam para Enterobacterales permitem detectar todos os mecanismos de resistência clinicamente relevantes (incluindo ESBL). Alguns isolados produtores de β-lactamases são sensíveis (S ou I) ao aztreonam utilizando estes pontos de corte e devem ser reportados de acordo com o resultado do teste, ou seja, a presença ou ausência de ESBL não influencia na categorização da sensibilidade. A detecção e a caracterização de ESBL são recomendadas para fins de saúde pública e controle de infecções."
Enterobacterales,Aztreonam-avibactam,42,-,>42,25,-,<25,2. Para fins de teste de sensibilidade a concentração de avibactam é fixada em 4 mg/L.
Enterobacterales,Enterobacterales,,,,,,"Tabela de Pontos de Corte Clínicos do BrCAST-EUCAST, válida a partir de 01-02-2025",
Enterobacterales,Regras de Especialistas e Fenótipos Esperados,,,,,,,"Para abreviações e explicações sobre pontos de corte, ver aba de Notas"
Enterobacterales,Fluoroquinolonas,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Enterobacterales,"Ciprofloxacino, Salmonella spp.1","0,06",-,">0,06",NotaA,NotaA,NotaA,"1. Existem evidências clínicas que indicam uma resposta inadequada ao tratamento com ciprofloxacino em infecções sistêmicas causadas por Salmonella spp. com qualquer mecanismo de resistência detectável às fluoroquinolonas. Os dados disponíveis relacionam-se principalmente a Salmonella Typhi, mas também há relatos de casos com resposta inadequada em relação à outras espécies de Salmonella. 
2/B. Na meningite, onde todos os mecanismos de resistência às fluoroquinolonas devem ser excluídos, determinar a CIM ou inferir a sensibilidade a partir do teste de triagem com disco de pefloxacino 5 µg.
3. Pontos de corte para fluoroquinolonas estão disponíveis para outros agentes.

A. Os testes com disco de ciprofloxacino de 5 µg não são confiáveis para excluir todos os mecanismos de resistência às fluoroquinolonas em Salmonella spp. Para triagem de resistência ao ciprofloxacino em Salmonella spp., determinar a CIM para ciprofloxacino ou utilizar discos de pefloxacino 5 µg. 
C. O teste de triagem com pefloxacino (disco de 5 µg) pode também ser utilizado para detectar mecanismos de resistência às fluoroquinolonas em outras Enterobacterales, como  E. coli, K. pneumoniae e Shigella spp.
D. O teste de disco-difusão aguarda ação da indústria farmacêutica responsável."
Enterobacterales,Ciprofloxacino (infecções não meníngeas),"0,25","0,5",">0,5",25,22-24,<22,
Enterobacterales,Ciprofloxacino (meningite)2,"0,125",-,">0,125",NotaB,NotaB,NotaB,
Enterobacterales,Pefloxacino (exclusivamente triagem),,,,"24A,B,,C",-,"<24A,B,C",
Enterobacterales,"Delafloxacino, E. coli","0,125",-,">0,125",NotaD,NotaD,NotaD,
Enterobacterales,Levofloxacino,"0,5",1,>1,23,19-22,<19,
Enterobacterales,"Moxifloxacino, Enterobacterales exceto Morganella morganii, Proteus spp. e Serratia spp.3","0,25",-,">0,25",22,-,<22,
Enterobacterales,Ácido nalidíxico (exclusivamente triagem),,,,,,,
Enterobacterales,Norfloxacino (exclusivamente ITU não complicada),"0,5",-,">0,5",24,-,<24,
Enterobacterales,Ofloxacino,"0,25","0,5",">0,5",24,22-23,<22,
Enterobacterales,Aminoglicosídeos1,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Enterobacterales,Amicacina (infecções sistêmicas),(8)1,-,(>8)1,(18)A,-,(<18)A,"1/A. Para obter informações sobre como usar pontos de corte entre parênteses, consultar https://www.eucast.org/eucastguidancedocuments/.
2. Os pontos de corte não se aplicam a Plesiomonas shigeloides visto que aminoglicosídeos têm baixa atividade contra esta espécie."
Enterobacterales,Amicacina (infecções sistêmicas com origem no trato urinário),8,-,>8,18,-,<18,
Enterobacterales,Gentamicina (infecções sistêmicas),(2)1,-,(>2)1,(17)A,-,(<17)A,
Enterobacterales,Gentamicina (infecções sistêmicas com origem no trato urinário),2,-,>2,17,-,<17,
Enterobacterales,Netilmicina,EI,EI,EI,EI,EI,EI,
Enterobacterales,Tobramicina (infecções sistêmicas),(2)1,-,(>2)1,(16)A,-,<(16)A,
Enterobacterales,Tobramicina (infecções sistêmicas com origem no trato urinário),2,-,>2,16,-,<16,
Enterobacterales,Macrolídeos,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Enterobacterales,Azitromicina1,Nota1,Nota1,Nota1,"NotaA,B","NotaA,B","NotaA,B","1/A. A azitromicina tem sido utilizada no tratamento de infecções entéricas, principalmente por Salmonella Typhi e espécies de Shigella. Embora as distribuições de tipo selvagem variem um pouco, isolados com CIMs acima de 16 mg/L (diâmetros de halo de inibição <12 mm com disco de azitromicina 15 µg) provavelmente têm mecanismos de resistência à azitromicina.
B. Ao ler os diâmetros dos halos de inibição de azitromicina, levar em consideração o crescimento que aparece como um halo interno tênue em alguns lotes de ágar Mueller-Hinton."
Enterobacterales,Enterobacterales,,,,,,"Tabela de Pontos de Corte Clínicos do BrCAST-EUCAST, válida a partir de 01-02-2025",
Enterobacterales,Regras de Especialistas e Fenótipos Esperados,,,,,,,"Para abreviações e explicações sobre pontos de corte, ver aba de Notas"
Enterobacterales,Tetraciclinas,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Enterobacterales,Doxiciclina,-,-,-,-,-,-,1. A tetraciclina tem sido utilizada para prever a sensibilidade à doxiciclina no tratamento de infecções por Yersinia enterocolitica (CIM de tetraciclina ≤ 4 mg/L para isolados selvagens). O diâmetro de halo correspondente para o disco de 30 µg de tetraciclina é ≥19 mm.
Enterobacterales,"Eravaciclina, E. coli","0,5",-,">0,5",17,-,<17,"2. Para determinação da CIM de tigeciclina por microdiluição, o meio deve ser fresco, preparado no dia do uso."
Enterobacterales,Minociclina,-,-,-,-,-,-,"3/A. Para outras Enterobacterales, a atividade de tigeciclina varia de insuficiente em Proteus spp., Morganella morganii e Providencia spp. para variável em outras espécies. Para mais informações, consultar http://www.eucast.org/eucastguidancedocuments/"
Enterobacterales,Tetraciclina1,-,-,-,-,-,-,"B. Pontos de corte de diâmetro do halo de inibição validados apenas para E. coli. Para C. koseri, usar um método de determinação da CIM."
Enterobacterales,"Tigeciclina, E. coli e C. koseri","0,52,3",-,">0,52,3","18A,B",-,"<18A,B",
Enterobacterales,Agentes diversos,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Enterobacterales,Cloranfenicol,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,"1/A. A eficácia contra Enterobacterales é incerta. Os valores de corte de triagem podem ser utilizados ​​para distinguir isolados de tipo selvagem de isolados com resistência adquirida (CIM >16 mg/L; diâmetro do halo <17 mm para o disco de cloranfenicol 30 µg). Para o tratamento de meningites com cloranfenicol, consultar a tabela de dosagens."
Enterobacterales,Colistina2,(2)3,-,(>2)3,NotaB,NotaB,NotaB,"2. A determinação da CIM de colistina ou polimixina B deve ser realizada por microdiluição em caldo. O controle de qualidade deve ser realizado tanto com uma cepa de CQ sensível (E. coli ATCC 25922 ou P. aeruginosa ATCC 27853) quanto com a E. coli NCTC 13846 resistente à colistina (mcr-1 positivo).
3. Para obter informações sobre como usar pontos de corte entre parênteses, consultar https://www.eucast.org/eucastguidancedocuments/."
Enterobacterales,"Polimixina B2,3,8",(2)3,-,(>2)3,NotaB,NotaB,NotaB,"4. A diluição em ágar é o método de referência para testar fosfomicina. A CIM para fosfomicina deve ser determinada na presença de glicose-6-fosfato (25 mg/L no meio para os métodos de diluição em caldo e diluição em ágar). Seguir as instruções do fabricante caso seja utilizado um sistema comercial.
5/E. Atualmente faltam evidências clínicas para apoiar pontos de corte clínicos.
6/F. A realização do teste de sensibilidade antimicrobiana não é recomendada. Para obter informações sobre o uso de fosfomicina iv em terapia combinada em outras Enterobacterales, consultar https://www.eucast.org/eucastguidancedocuments/.
7. Sulfametoxazol-trimetoprima na proporção 19:1. Os pontos de corte de CIM estão expressos como concentração de trimetoprima."
Enterobacterales,"Fosfomicina iv (infecções com origem no trato urinário), E. coli",84,-,>84,24D,-,<24D,
Enterobacterales,"Fosfomicina iv (outras indicações), E. coli",Nota5,Nota5,Nota5,NotaE,NotaE,NotaE,
Enterobacterales,"Fosfomicina iv, outras Enterobacterales",Nota6,Nota6,Nota6,NotaF,NotaF,NotaF,
Enterobacterales,"Fosfomicina oral  (exclusivamente para E. coli, em ITU não complicada)",84,-,>84,24D,-,<24D,8. Pontos de corte propostos pelo BrCAST.
Enterobacterales,"Nitrofurantoína (exclusivamente ITU não complicada), E. coli",64,-,>64,11,-,<11,"B. Utilizar um método de determinação da CIM (somente microdiluição em caldo).
C. Os discos de fosfomicina de 200 µg devem conter 50 µg de glicose-6-fosfato.
D. Ignorar colônias isoladas dentro do halo de inibição. Ver figuras abaixo."
Enterobacterales,Sulfametoxazol-trimetoprima7,2,4,>4,14,11-13,<11,
Enterobacterales,Enterobacterales,,,,,,"Tabela de Pontos de Corte Clínicos do BrCAST-EUCAST, válida a partir de 01-02-2025",
Enterobacterales,Regras de Especialistas e Fenótipos Esperados,,,,,,,"Para abreviações e explicações sobre pontos de corte, ver aba de Notas"
Enterobacterales,Exemplos de halos de inibição de Escherichia coli com fosfomicina.,,,,,,,
Enterobacterales,a-c) Ignorar todas as colônias e ler a borda mais externa do halo.,,,,,,,
Enterobacterales,d) Registrar como ausência de halo de inibição.,,,,,,,
Pseudomonas,Piperacilina-tazobactam,"0,0011","0,002-161",>161,50,18-49,<18,"1. Para fins de teste de sensibilidade, a concentração de tazobactam é fixada a 4 mg/L."
Pseudomonas,Cefalosporinas,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Pseudomonas,Cefepima,"0,001","0,002-8",>8,50,21-49,<21,"1/A. A adição de um inibidor de betalactamase não acrescenta benefício clínico. As betalactamases produzidas pelos microrganismos não modificam a cefalosporina ou são insuficientemente inibidas pelo inibidor.
2. A determinação da CIM por microdiluição deve ser realizada com caldo Mueller-Hinton sem ferro e as instruções de leitura específicas devem ser seguidas. Para condições de teste e instruções de leitura, consultar http://www.eucast.org/eucastguidancedocuments/"
Pseudomonas,Cefepima-enmetazobactam,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
Pseudomonas,"Cefiderocol, P. aeruginosa",22,-,>22,22,-,<22,
Pseudomonas,Ceftazidima,"0,001","0,002-8",>8,50,17-49,<17,"3. Para fins de testes de sensibilidade, a concentração de avibactam é fixada em 4 mg/L."
Pseudomonas,"Ceftazidima-avibactam, P. aeruginosa",83,-,>83,17,-,<17,4. Ver tabela de dosagens para doses em diferentes indicações.
Pseudomonas,"Ceftolozana-tazobactam4, P. aeruginosa",45,-,>45,23,-,<23,"5. Para fins de testes de sensibilidade, a concentração de tazobactam é fixada em 4 mg/L."
Pseudomonas,Carbapenêmicos,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Pseudomonas,Doripenem,"0,001","0,002-2",>2,50,22-49,<22,"1. Para fins de teste de sensibilidade, a concentração de relebactam é fixada em 4 mg/L."
Pseudomonas,Ertapenem,-,-,-,-,-,-,"2. Para fins de teste de sensibilidade, a concentração de vaborbactam é fixada em 8 mg/L."
Pseudomonas,Imipenem,"0,001","0,002-4",>4,50,20-49,<20,
Pseudomonas,"Imipenem-relebactam, P. aeruginosa",21,-,>21,22,-,<22,
Pseudomonas,"Meropenem (infecções não meníngeas), 
P. aeruginosa",2,4-8,>8,20,14-19,<14,
Pseudomonas,"Meropenem (infecções não meníngeas), Pseudomonas spp. excluindo P. aeruginosa",2,4-8,>8,24,18-23,<18,
Pseudomonas,"Meropenem (meningite), P. aeruginosa",2,-,>2,20,-,<20,
Pseudomonas,"Meropenem-vaborbactam, P. aeruginosa",82,-,>82,14,-,<14,
Pseudomonas,Pseudomonas spp.,,,,,,"Tabela de Pontos de Corte Clínicos do BrCAST-EUCAST, válida a partir de 01-02-2025",
Pseudomonas,Regras de Especialistas e Fenótipos Esperados,,,,Documentos de orientação,,,"Para abreviações e explicações sobre pontos de corte, ver aba de Notas"
Pseudomonas,Monobactâmicos,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Pseudomonas,Aztreonam,"0,001","0,002-16",>16,50,18-49,<18,
Pseudomonas,Aztreonam-avibactam,EI,EI,EI,EI,EI,EI,
Pseudomonas,Fluoroquinolonas,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Pseudomonas,Ciprofloxacino,"0,001","0,002-0,5",">0,5",50,26-49,<26,
Pseudomonas,Delafloxacino,EI,EI,EI,EI,EI,EI,
Pseudomonas,Levofloxacino,"0,001","0,002-2",>2,50,18-49,<18,
Pseudomonas,Moxifloxacino,-,-,-,-,-,-,
Pseudomonas,Norfloxacino (exclusivamente ITU não complicada),-,-,-,-,-,-,
Pseudomonas,Ofloxacino,-,-,-,-,-,-,
Pseudomonas,Aminoglicosídeos1,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Pseudomonas,Amicacina (infecções sistêmicas),(16)1,-,(>16)1,(15)A,-,(<15)A,"1/A. Para obter informações sobre como usar pontos de corte entre parênteses, consultar https://www.eucast.org/eucastguidancedocuments/."
Pseudomonas,Amicacina (infecções sistêmicas com origem no trato urinário),16,-,>16,15,-,<15,
Pseudomonas,Gentamicina (infecções sistêmicas),EI,EI,EI,EI,EI,IE,
Pseudomonas,Gentamicina (infecções sistêmicas com origem no trato urinário),EI,EI,EI,EI,EI,IE,
Pseudomonas,Netilmicina,EI,EI,EI,EI,EI,IE,
Pseudomonas,Tobramicina (infecções sistêmicas),(2)1,-,(>2)1,(18)A,-,(<18)A,
Pseudomonas,Tobramicina (infecções sistêmicas com origem no trato urinário),2,-,>2,18,-,<18,
Pseudomonas,Pseudomonas spp.,,,,,,"Tabela de Pontos de Corte Clínicos do BrCAST-EUCAST, válida a partir de 01-02-2025",
Pseudomonas,Regras de Especialistas e Fenótipos Esperados,,,,Documentos de orientação,,,"Para abreviações e explicações sobre pontos de corte, ver aba de Notas"
Pseudomonas,Agentes diversos,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Pseudomonas,Colistina1,(4)2,-,(>4)2,NotaA,NotaA,NotaA,"1. A determinação da CIM de colistina ou polimixina B deve ser realizada por microdiluição em caldo. O controle de qualidade deve ser realizado tanto com uma cepa de CQ sensível (E. coli ATCC 25922 ou P. aeruginosa ATCC 27853) quanto com a E. coli NCTC 13846 resistente à colistina (mcr-1 positivo).
2. Para obter informações sobre como usar pontos de corte entre parênteses, consultar https://www.eucast.org/eucastguidancedocuments/."
Pseudomonas,"Polimixina B1,3",(2)2,-,(>2)2,NotaA,NotaA,NotaA,3. Pontos de corte preconizados pelo BrCAST.
Pseudomonas,Fosfomicina iv,Nota4,Nota4,Nota4,NotaB,NotaB,NotaB,"4/B. A realização do teste de sensibilidade antimicrobiana não é recomendada. Para informação sobre o uso de fosfomicina iv em terapia combinada ver https://www.eucast.org/eucastguidancedocuments/.

A. Utilizar um método para a determinação da CIM (somente microdiluição em caldo)."
Pseudomonas,Fosfomicina oral,-,-,-,-,-,-,
S.maltophilia,Ceftazidima,-,-,-,-,-,-,"1. A determinação da CIM por microdiluição deve ser realizada com caldo Mueller-Hinton sem ferro e as instruções de leitura específicas devem ser seguidas. Para condições de teste e instruções de leitura, consultar http://www.eucast.org/eucastguidancedocuments/.
2/A. A atividade in vitro do cefiderocol contra Stenotrophomonas maltophilia é comparável à atividade do agente contra Enterobacterales e também há dados em animais que sugerem eficácia. No entanto, não há dados clínicos suficientes para determinar um ponto de corte clínico. Isolados com valores de CIM ≤ 0,5 mg/L (diâmetro do halo ≥ 28 mm) são, em sua maioria, desprovidos de mecanismos de resistência. Isolados com CIMs de 1-2 mg/L apresentam mecanismos de resistência adquiridos que podem resultar em resposta clínica inadequada. Isolados com valores de CIM > 2 mg/L (diâmetro da halo < 22 mm) provavelmente serão resistentes."
S.maltophilia,Cefepima,-,-,-,-,-,-,
S.maltophilia,Cefiderocol1,Nota2,Nota2,Nota2,NotaA,NotaA,NotaA,
S.maltophilia,Monobactâmicos,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
S.maltophilia,Aztreonam,-,-,-,-,-,-,
S.maltophilia,Aztreonam-avibactam,EI,EI,EI,EI,EI,EI,
S.maltophilia,Fluoroquinolonas,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
S.maltophilia,Ciprofloxacino,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
S.maltophilia,Levofloxacino,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
S.maltophilia,Tetraciclinas,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
S.maltophilia,Minociclina,"Nota1,2","Nota1,2","Nota1,2",NotaA,NotaA,NotaA,
S.maltophilia,Tigeciclina,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
S.maltophilia,Stenotrophomonas maltophilia,,,,,,"Tabela de Pontos de Corte Clínicos do BrCAST-EUCAST, válida a partir de 01-02-2025",
S.maltophilia,Regras de Especialistas e Fenótipos Esperados,,,,Documentos de orientação,,,"Para abreviações e explicações sobre pontos de corte, ver aba de Notas"
